dbn,school_name,boro,building_code,shared_space,phone_number,fax_number,school_email,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,year_at_scale,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,diplomaendorsements,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
24Q267,High School of Applied Communication,Queens,Q735,Yes,718-389-3163,718-389-3427,24Q267@schools.nyc.gov,9,12,,,,"B62, Q100, Q101, Q32, Q39, Q60, Q66, Q67, Q69, Q99","G to Court Square ; E, M, R to Queens Plaza ; N, Q to Queensboro Plaza ; 7 to Rawson St-33rd St",30-20 THOMSON AVENUE, QUEENS,NY,11101,www.hsacny.com,421,,,"The High School of Applied Communication is committed to developing a productive learning environment that fosters meaningful and respectful collaboration among students, staff, parents and guardians, and the community in order to achieve common goals. With a strong focus on promoting literacy and communication skills across the curriculum, instruction is delivered through an individualized, standards-based and authentic learning program. Routines, active engagement and opportunities to apply new knowledge characterize all the classes, supporting a culture of responsibility, citizenship and self-directed, lifelong learning.","Technology, Microsoft Office and Adobe Certification, Coding, Graphic Design, Advisory, College and Career Counseling, Drama, Electronic Media, Ceramics, Art, Urban History, Advanced Writer's Workshop, Contemporary Fiction, Calculus, Physics","Italian, Spanish","Biology, English, Human Geography, United States History",,"After-School Tutoring, Art Club, Museum Studies, Book Club, Technology Team, Consultative Council, Dance Team, Rocketry Club, Multicultural Club, National Honor Society, Peer Mediation, Peer Tutoring, Regents Review, Saturday Academy, Senior Council, Student Government, Yearbook","Basketball, Outdoor Track, Soccer, Wrestling","Basketball, Cross Country, Flag Football, Rugby, Soccer, Softball, Volleyball",,,"Magic Box Productions, Commission on Human Rights, Material for the Arts,",,"Bard College, LaGuardia Community College","The Museum of the Moving Image, The American Museum of Natural History, Museum of Modern Art (MoMA), New York City Opera","The Leukemia and Lymphoma Society, The American Cancer Society, The Salvation Army",NCR Corporation,,,,,9:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
24Q293,Civic Leadership Academy,Queens,Q744,Yes,718-271-1487,718-271-3408,info@CLAnyc.org,9,12,,,,"Q29, Q38, Q53, Q58, Q72",7 to Junction Blvd,45-10 94TH STREET, QUEENS,NY,11373,www.CLANYC.org,479,,,"Civic Leadership Academy is a small school offering a challenging academic program with the goal of every student going to college. Our high expectations and focus on strong work habits, combined with an emphasis on critical reading, writing, and thinking skills, promote college and career readiness. The learning environment is highly personalized and supported by a dedicated and caring staff. Our curriculum is enhanced by a focus on community service, which gives students opportunities to discover their place in the world and their capacity to make a difference in their communities. We encourage parents to take an active role in helping us reach the goal of every student going to college.","CUNY College Now at Queens College; Science Technology Entry Program (STEP) Academy at Baruch College, New York University, and St. John's University; The Opportunity Network, Weill Cornell Youth Scholars Program, Kaplan SAT Prep, Regents Prep, Peer Tutoring, College Awareness, College Tours, Lunch Tutoring, National Honor Society (NHS); Music, Art, and Dance Programs; New York State School Music Association (NYSSMA) Competition, National Association for Music Education Tri-M Music Honor Society, Saturday ESL program for students and parents; After-School programs: Out-of-School Time (OST), The After-School Corporation (TASC)","French, Spanish","English, United States Government and Politics, United States History",,"åÁCuidate! (Youth Development Program), Work Initiative Act (WIA) Youth Program, The New York Hall of Science, After-school Tutoring, Art, Chorus, College Preparatory, Community Service, Culinary, Latin and Modern Dance, Drama, Homework Help, Music, Yearbook, Senior Committee, Chat and Chew, Debate, Chess, SportsÛª' Conditioning; Our clubs are based on our studentsÛª' interests and are subject to expansion","Basketball, Rugby, Table Tennis","Rugby, Table Tennis","Softball, Table Tennis","Flag Rugby, Fencing, Table Tennis",The Child Center of NY,,"Baruch College, Columbia University, New York University, St. John's University, Queens College",,New Visions for Public Schools,,,,,"Gym Uniform Required: Civic Leadership Academy shirt (purchased at the school), Athletic Shorts or Pants",8:30 AM,2:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
24Q296,Pan American International High School,Queens,Q744,Yes,718-271-3602,718-271-4041,mgarg@panamericanihs.org,9,12,,,,"Q29, Q38, Q53, Q58, Q72",7 to Junction Blvd,45-10 94TH STREET, QUEENS,NY,11373,www.panamericanihs.org,378,,"Performance Assessment School, School for New Arrivals","The Pan American International High School is a diverse learning community of recently-immigrated English Language Learners (ELLs). Our primary focus is English language development; at the same time, we provide opportunities to enrich students' Spanish language skills. Students learn about Latin American themes and topics which are integrated into both classroom learning and community service projects. The Puentes Program, a partnership with the Latin American Integration Center, cultivates the leadership skills of students in their communities through service learning projects and internships. We are committed to creating an environment that values studentsÛª cultures, native languages, and individual differences, while preparing them for success as they navigate a changing world.","Electives, After-school Activities, Internships, Involvement with community organizations, Make the Road New York, College Prep",Spanish,,,"Leadership Project, Peer Tutoring, Advanced English, Art Design and Exhibition, Baile Folklorico, CampaÌ±a Verde, Comics, Crochet, Dance, Drama Class, Family Festivals, Guitar, History Regents Prep, Latino Youth for Higher Education Program (LYHEP), Math Regents Prep, Music, Newspaper, Photography, Saturday Explorers, Science Regents Prep, Social Action Projects and Campaigns, Sports, Student Congress, Talent Show, Voice","Basketball, Rugby, Table Tennis","Rugby, Table Tennis","Softball, Table Tennis","Badminton, Baseball, Fitness, Floor Hockey, Football, Soccer, Yoga","Make the Road New York, Latino Youth for Higher Education Program, Sadie Nash Leadership Project",,"Columbia University, New York University","Queens Museum of Art, Metropolitan Museum of Modern Art, Repertorio EspaÌ±ol, Baile Folklorico",Internationals Network for Public Schools,,,,,Internship Opportunities; Saturday Program offered,8:30 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"Open only to New York City residents living in the United States four years or fewer whose home language is Spanish and are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,,,,
24Q299,Bard High School Early College Queens,Queens,Q735,Yes,718-361-3133,718-361-6742,ocarmona@bhsec.bard.edu,9,12,,,,"B62, Q100, Q101, Q32, Q39, Q60, Q66, Q67, Q69, Q99","G to Court Square ; E, M, R to Queens Plaza ; N, Q to Queensboro Plaza ; 7 to Rawson St-33rd St",30-20 THOMSON AVENUE, QUEENS,NY,11101,www.bard.edu/bhsec,623,,,"Bard High School Early College Queens (BHSEC Queens) was founded on the belief that many students are ready to do serious college work at age sixteen. Bard College partnered with the New York City Department of Education to create an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college, earning a high school diploma, up to 60 college credits, and an Associate of Arts (AA) degree upon graduation.","In their first two years at BHSEC Queens, students receive a solid foundation in mathematics, science, history, English, a foreign language, and the arts. In the final two years, the college program balances core requirements in critical reading and analysis, mathematics, science, language & culture, and the arts, with opportunities for students to pursue their individual interests. We offer a variety of college courses and opportunities for students to engage in independent studies of their own design. Students completing 60 college credits receive the Bard College AA degree. Students may then transfer to colleges and universities with up to two years of college credit.","Arabic, Chinese (Mandarin), Greek, Hebrew, Japanese, Latin, Spanish",,,"Anime, Art, Ballroom Dancing, BHSEC Cares, Book, Community Council, Computers, Technology, Dance, Debate, Film, Gardening, Habitat for Humanity, Knitting, Math Team, Medical, Model UN, Mock Trial, Movie, Mural, Music, Music Camp, Literary Magazine (Û÷HYPEÛª), Newspaper (Û÷B.Q. BroadsideÛª), Outing, Peer Counselors, Peer Mentors, Peer Tutors, Ping-Pong, The Alliance, Seekers, Step Team, Student Ambassadors, Student Government","Basketball, Outdoor Track, Soccer, Wrestling","Basketball, Cross Country, Flag Football, Rugby, Soccer, Softball, Volleyball",,"Basketball, Cross Country, Fencing, Flag Football, Track and Field, Ultimate Frisbee, Weightlifting; Girls: Soccer, Volleyball","The New York Academy of Sciences, Bard College",,"Bard College, The Rockefeller University","American Symphony Orchestra, American Museum of Natural History, Longy School of Music",,Credit Suisse,,,,,9:00 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,
24Q455,Newtown High School,Queens,Q455,Yes,718-595-8400,718-699-8584,77Q455@schools.nyc.gov,9,12,,,,"Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88","M, R to Grand Ave - Newtown",48-01 90 STREET, QUEENS,NY,11373,www.newtownhighschool.org,1921,,,"We are devoted to building a community of critical thinkers. We embrace diversity as an aid to learning and to the development of strong community spirit. We strive to produce graduates with a solid intellectual and ethical foundation. Our proud history of serving the community and our student body provides a school tradition that inspires and cultivates hard work and success. We are a Small Learning Communities school with communities in Business, Arts and Media, Engineering, Forensics, International, and a Freshmen Success Academy.","New York State-approved Career and Technical Education programs in New Media/E-Commerce and Architecture; Pre-Engineering; A+ Certification; Computer Repair; Microsoft Office Specialist (Access, Excel, PowerPoint and Word); Adobe Web Certification, Flash and Dreamweaver; IT Technology; Network Cabling; Robotics; Journalism; Guitar Classes; Piano Keyboard; Spanish Drama; Spanish Heritage; Chinese Heritage; City Year corp members provide both inclass and after-school academic support; they also provide extracurricular activities such as break-dancing, journalism, and more.","Chinese (Mandarin), French, Spanish","Biology, Calculus, Chinese Language and Culture, English, Spanish","Math, Science","Arista, Art Portfolio, Art Shows, Bengali Club, Chess, Chinese, Concerts, Dance, Foreign Language, History, Key Club, Leadership Class, Literary Magazines, Math and Language Magazines, Mediation and Negotiation, Mu Alpha Theta (Math Honor Society), Multicultural Show, Photography, Poetry, Robotics, School Play, Science Fair, Spanish, SPARK Peer Helpers, Student Organization, The Tower School Newspaper, Yearbook, Debate, Cheerleading, Investment","Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling","Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Cricket, Golf","Baskeball, Bowling, Handball, Soccer, Tennis, Volleyball, Wrestling, Girls Softball, Track, Baseball","Queens Community House, Johns Hopkins Diplomas Now, Community in Schools, City Year",,"Queensborough Community College, LaGuardia Community College, St. JohnÛªs University, Queens College, New York Institute of Technology (NYIT), The City College of New York (CCNY), Johns Hopkins University",We partner with the Queens Museum of Art and the Queens Theater.,,There are various corporate sponspors and collaborators for our Robotics Program.,,,,Queens Community House provides after-school opportunities to earn credits and to support student success,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL, Transitional Bilingual Education: Chinese, Spanish",Not Functionally Accessible,4,Open to Queens students or residents,For Zoned program only: Priority to students who apply and live in the zoned area.,,,,,,,,
24Q485,Grover Cleveland High School,Queens,Q485,No,718-381-9600,718-417-8457,24Q485@schools.nyc.gov,9,12,,,,"B13, B38, B57, Q38, Q39, Q54, Q58, Q67, QM24",,21-27 HIMROD STREET, QUEENS,NY,11385,www.gchs.info,1828,,,We provide a nurturing learning environment that enables all students to achieve their college and career readiness goals.,"Tiger Academy (ninth graders only); Academy of Business, Hospitality and Tourism (Hospitality and Tourism and Virtual Enterprise programs); Academy of Arts and Humanities (Music, Fine Arts, Theater); Academy of Applied Health and Athletic Sciences (Lifeguarding, Personal Training and EMT); STEM (Science, Technology, Engineering, Mathematics) Academy; Math/Science Institute; Academy of Information Technology (Oracle Database Certification, App Design, CAD, Robotics). Academic College Preparation and career-readiness programs. Concentration of course study begins in 10th grade for all programs.","Italian, Spanish","Biology, Calculus, Chemistry, English, European History, Spanish, Statistics, United States History",,"Arista, Computer Graphics/Art, Envirothon, International Bridge Building, Key Club,Math Team, Musical and Play Productions, Science Olympiad, SkillsUSA, Virtual Enterprise, Web Design/Internet, Yearbook","Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling","Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",,"Girls: Wrestling, Intramural Tournaments","The Ridgewood-Bushwick Senior Citizens Council, Queens Chamber of Commerce, Community Mediation Services, Council for Unity, Greater Ridgewood Youth Council, Pathways to Healing, YMCA, YPlan Center for Hearing & Communications",Wyckoff Hospital,"St. Lawrence University, Vaughn College of Aeronautics and Technology, St. JohnÛªs University, LaGuardia Community College, DeVry College","Little House Rock, Carnegie Hall, Museum of Modern Art, and the Revival for Classical Culture",Rewarding Achievement (REACH),"Oracle Corporation, Marriott, Microsoft, Certiport, C-Tech",,"National Academy Foundation, High Schools That Work (HSTW)",iLearnNYC: Program for expanded online coursework and self-paced learning,Saturday Institute,8:30 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL, Transitional Bilingual Education: Spanish",Functionally Accessible,6,Priority to Queens students or residents,Then to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,,,,,,,
24Q520,Middle College High School at LaGuardia Community College,Queens,Q520,Yes,718-392-3330,718-392-3315,jgonzalez10@schools.nyc.gov,9,12,,,,"B24, Q100, Q101, Q39, Q60, Q67, Q99","E, M, R to Queens Plaza ; 7 to Rawson St-33rd St",45-35 VAN DAM STREET, QUEENS,NY,11101,www.mchslic.com,514,,Performance Assessment School,Our mission is to offer students opportunities to achieve success by providing a small personalized environment on a college campus. We provide tangible experiences that help students connect to the next stages of their academic and social lives as well as their careers. They have open access to the campus of LaGuardia Community College and may enroll in college classes as part of their high school instructional program.,"The focus in grades nine and ten (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the tenth grade, students become eligible to apply for college courses. During their senior year, students can apply to remain a fifth year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students enroll in college classes and receive extra support through seminar classes.","American Sign Language, French, Italian, Korean, Spanish",,,"Conflict Resolution, Early College Program, Middle College National Consortium, National Honor Society, Peer Counseling, Yearbook, Senior Council Committee, Beginner Guitar, Chess, Community Service Project, Digital Storytelling, Robotics",,,,,"LaGuardia Community College, Long Island City YMCA",Western Queens Consultation Center,LaGuardia Community College,,Bleuler Psychotherapy Center,,,,,Performance/Portfolio-based assessment required in sophomore and senior years; Internship opportunities available,8:00 AM,1:55 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Districts 24 and 30 students or residents,Then to Queens students or residents,Then to New York City residents,,,,,,,
24Q530,International High School at LaGuardia Community College,Queens,Q520,Yes,718-392-3433,718-392-3443,ijaquez@ihsnyc.org; jvalane@ihsnyc.org,9,12,,,,"B24, Q100, Q101, Q39, Q60, Q67, Q99","E, M, R to Queens Plaza ; 7 to Rawson St-33rd St",45-35 VAN DAM STREET, QUEENS,NY,11101,www.ihsnyc.org,509,,"Performance Assessment School, School for New Arrivals","We are a small, multicultural high school on the campus of LaGuardia Community College. All of our students are new to the country within four years of application. We focus on English language development in all of our content classes and teachers work collaboratively on interdisciplinary teams. Our mission is to prepare English Language Learners for success in college and careers. Students develop their academic and English skills by completing individual and group projects in all classes. Students present portfolios as part of their graduation requirements and are able to stay for a free year of college as part of our Early College Program after they complete their high school graduation requirements within four years. While in the Early College Program, we provide students with academic support classes to ensure their success in college.","English instruction in all content classes with native language support; students grouped in small interdisciplinary learning communities; personalized small group instruction; Early College Program option to remain a 5th year and complete a free Associate degree from LaGuardia Community College; Tuition-free college courses including Math, Science, English, History, Psychology, Sociology, Art, Music, native language classes and more; Internship program in the eleventh and twelfth grades","Arabic, Bengali, Chinese (Mandarin), French, Hindi, Japanese, Korean, Polish, Portuguese, Punjabi, Spanish, Tibetan, Urdu",,,"LaGuardia Community College classes and gym facilities, YMCA for after-school sports (badminton, volleyball, soccer, basketball), After-School tutoring, Art, Chorus, Computer Lab, Garden Club, Music club, Knitting, Student Government, Saturday Literacy Explorers Program, Cultural clubs, International food festival, Theater program, Newspaper, Liberty Partnership, SAT, Dance, Photography Classes",,,,"International High School athletes join with students from Robert F. Wagner, Jr. Secondary School for Arts and Technology and Middle College High School at La Guardia Community College as the Panthers, to compete in the Public Schools Athletic League (PSAL).","Liberty Partnership, Western Queens Consultation Center, Make the Road NY, Sanctuary for Families, Asian Americans for Equality, New York Immigration Coalition",,LaGuardia Community College,Earsay Theater Arts,"Internationals Network for Public Schools (INPS), Bill & Melinda Gates Foundation, Middle College National Consortium",Shearman & Sterling,,YMCA,,Internship Opportunities; Saturday Program offered,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Eligibility: Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,,,,,,,,
24Q550,High School for Arts and Business,Queens,Q456,No,718-271-8383,718-271-7196,azambra@schools.nyc.gov,9,12,,,,"Q23, Q38, Q58, Q88, QM10, QM12",,105-25 HORACE HARDING EXPY N, QUEENS,NY,11368,http://schools.nyc.gov/SchoolPortals/24/Q550,870,,,"The High School for Arts and Business is committed to providing opportunities for our students to achieve excellence in academic, career, and technical pursuits. Our individualized programming helps students earn an Advanced Regents diploma and continue on to the college or career path of their choice. Through broad-based educational experiences, our students develop technological and artistic literacy using an interactive approach. Our culturally diverse school community features partnerships that support personal growth and emphasize global understanding, leadership, and integrity.","Students may receive CTE endorsement in Entrepreneurship/Virtual Enterprise; 6-10 Credit Program in the Visual & Performing Arts, Career Pathways, CUNY College Now, Journalism, Playwriting, Criminal Justice Unit, Business Law, Media Studies & Research, Critical Thinking Seminars, Honors Math, Calculus, Science Research, Final-Cut Pro Certification, Microsoft Office Specialist (MOS) Certification, Center for Arts Education Internships, Rewarding Achievement (REACH), Computer Science","French, Italian, Spanish","Art History, English, Psychology, Spanish, United States History, World History","Arts, CTE","Action Team, Ad Council, Advertising Futures Campaign, AP History Team, Arista/National Honor Society, Art, Art Exhibits, Art Therapy, Career Cruising, Carnegie Hall Concerts and In-School Workshops, Cheerleading, Chess, Consultative Council, Cooking, DA Richard A. Brown Student Leadership Program, Dance Performances, Debate Team, Foreign Film, Fundraising Committee, Future Leaders of America (FBLA), Guitar, Job Readiness Workshops, Job Shadowing, Law Team, Leadership Class, Math Challenge, Math Team, Mathematica, Multicultural Performances, Music, Peer Tutoring, Photography, Piano, Poem in Your Pocket, Pre-Med, PrincipalÛªs Consultative Student Council, Public Speaking, Robotics, Senior Planning Committee, Service, Shakespeare Oratory Competition, School Newspaper, Spring Vocal and Instrumental Concert, Story Corps, Student Center, Student Government, Wellness Team, Winter Arts Festival, Yearbook","Baseball, Cross Country, Handball, Soccer","Cross Country, Handball, Soccer",,"Dance, Fitness Team, Track","School Wellness Council, New York Cares, Samuel Field Y, Action Team, Queens Community House, New York Hall of Science","S-PREP (State Pre-College Enrichment Program)-Columbia University College of Physicians and Surgeons, Park Terrace Care Center, Plaza Del Sol Family Health Center, Urban Health Plan","New York University, Hofstra University, Columbia University, Fashion Institute of Technology (FIT), City College of New York, Queens College, Baruch College, Queensborough Community College, Monroe College, LaGuardia Community College","American Ballet Theater (ABT), Center for Arts Education, Metropolitan Opera Guild, New York Philharmonic, Museum of Modern Art (MoMA) Red Studio, Fashion Institute of Technology (FIT) , Queens Museum (Docent Internships), Carnegie Hall Arts Partnership, Queens Museum of Art (QMA) Queens Teens, The Art Directors Club, The Art Students League of New York, Joan Mitchell Foundation, French Institute, Italian Committee on Education, City at Peace, ArtsConnection, Shakespeare Speaking Union, Story Corps, Queens Theatre in the Park, Repertorio EspaÌ±ol","Minds Matter, Scholars for Educational Opportunity (SEO), Rewarding Achievement (REACH), Anti-Defamation League (ADL), St. Jude Children's Research Hospital, New York Cares, SAT Prep,EduMaKate,Center for Arts Education, Oratorio Society, Queens Museum","O'Melveny & Myers LLP, Exxon Mobil, Zenith Optimedia LLP, Movie Pass","JPMorgan Chase & Co., Ridgewood Savings Bank","Repertorio Espanol, Teatro Stage Fest, Cross-Age Tutoring at PS 14",iLearnNYC: Program for expanded online coursework and self-paced learning,Summer Orientation: 9th Grade Orientation (June); Internship Opportunities; In-house Parent Center,8:45 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL, Transitional Bilingual Education: Spanish",Not Functionally Accessible,1,Priority to Queens students or residents,Then to New York City residents,,,,,,,,
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Queens,Q891,No,718-472-5671,718-472-9117,svu@schools.nyc.gov,6,12,,,,"B24, Q100, Q101, Q39, Q60, Q67, Q69, Q99","E, M, R to Queens Plaza ; 7 to Rawson St-33rd St ; G to Court Square",47-07 30TH PLACE, QUEENS,NY,11101,www.rfwagner.org,610,,,"Our school is known for being academic, artistic, athletic while providing a warm and welcoming community. Our teachers meet weekly to create rich, meaningful curricula. All students have an adviser responsible for monitoring their progress. Our college and career readiness curriculum helps our students become competitive candidates for college and prepares them for life beyond high school. Come to a place where people know you well and are dedicated to supporting your future goals. Many of our staff members have been here for more than ten years and our graduates often come back and visit. Once you are part of the Wagner family, you will always be a part of the Wagner family!","Year-long introductory courses in Arts and Technology for ninth graders; Student Government Association, National Honors Society, Piano, music composition, visual arts, advanced drawing and painting, theater, advanced theater; CUNY College Now; other Early College opportunities; Middle College National Consortium student leadership conference, monthly town hall meetings featuring student talent shows, APEX Learning (online curriculum)",Spanish,United States History,,"Art Club, Chess Team (nationally ranked), Computer (IT) Club; Robotics; Yoga Club, Student Government, SAT Preparation, College Readiness, EatWise, Full piano lab with 30 keyboards, Garden Club at Long Island City Roots Community Garden, Chinese Calligraphy, Foreign Film, Tech Team, Comic Book, Anime; Multiple field trips to museums and galleries; Music Composition Lab, National Honor Society/Arista, Portfolio development for students interested in applying to art school; School Leadership Team, Student Talent Showcases; Theater program with professional-level productions; Tutoring in all academic content areas; United Student Organization (USO), Yearbook","Baseball, Basketball, Soccer, Volleyball, Wrestling","Basketball, Golf, Soccer, Softball, Tennis, Volleyball, Wrestling",Golf,"We are a small school, but we boast the athletic team offerings of a big school! We have a dozen teams for boys and girls that compete every season of the year. Our athletes join International High School School and Middle College High School at LaGuardia Community College.","Liberty Partnership, STEP Program, New Visions for Public Schools",,LaGuardia Community College,"Chess-in-Schools, Town Hall Theater Productions","Long Island City Roots Community Garden, PENCIL",,,,,Internship Requirement,8:30 AM,3:05 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,For Q31J only:,"a. Priority to Districts 24, 30 and 32 students or residents",b. Then to New York City residents,For Q31K only: For continuing 8th graders only,,,,,,
24Q585,Maspeth High School,Queens,Q585,Yes,718-803-7100,718-803-7105,info@maspethhighschool.org,9,12,,,,"Q18, Q38, Q47, Q58, Q67",,54-40 74TH STREET, QUEENS,NY,11373,www.maspethhighschool.org,973,,,"Maspeth High School was founded in September 2011. We operate under the classical philosophy that all knowledge is interrelated. We expect all of our students to graduate with an Arts Endorsed, Advanced Regents Diploma in four years and attend top 4-year colleges and universities. A graduate of Maspeth High School will have taken four years of Classical Language, Latin, and be fully prepared for college, career, and productive citizenship.","Classical liberal arts curriculum. Students are required to read and write on a daily basis using technical speech, active listening techniques, and critical thinking skills. Four years of History, Mathematics, Science, English, and Latin are required. Maspeth also offers an extensive fully-integrated fine arts program featuring Visual Arts, Orchestra, Dance, Theater, and Choir. Students are strongly encouraged to take four years of one art form in order to graduate with an Arts Endorsement.","Greek, Latin","Biology, Calculus, Economics, English, Latin, Physics, United States Government and Politics, United States History, World History",,"Chess Team, Classics, Debate Team, Art Exhibitions, Green Club, International Thespian Society, Key Club, Math Team, Mock Trial Team, Model UN, Moot Court Team, National Honor Society, Robotics, Science, Student Government, Yearbook, Future Doctors, Fitness, buildOn, 4H Club, Junior State of America, Science Olympiad, Philosophy, Maspeth Aeronautics and Space Association (MASA), Literary Magazine, Homeric Society, Gilder Lehrman, String Ensemble, MHS Choir, Dance Company, Cheerleading, Speech Team, Unity, Red Cross, Judo","Baseball, Basketball, Lacrosse, Rugby, Soccer, Tennis, Wrestling","Basketball, Flag Football, Soccer, Softball, Tennis, Volleyball",Cricket,"Golf, Soccer, Fencing, Football, Tennis, Track & Field, Flag Football","Juniper Juniors, Maspeth Kiwanis, Queens Veterans Day Parade, United Veterans and Fraternal Organization of Maspeth, Juniper Parks Civic Association, Ridgewood YMCA",Premier Care,"St. John's University, SUNY Stony Brook University, CUNY Queens College, New York University","International Thespian Society, Theater Development Fund","Maspeth Chamber of Commerce, Catholic Charities-Glendale Mental Health Clinic",Pillsbury Winthrop Shaw Pittman LLP,"Municipal Credit Union, Maspeth Federal Savings Bank, TD Bank",Red Cross of Greater New York,,"Dress Code Required: Boys: Collared shirt, khaki pants or dress pants. Girls: Collared shirt or blouse, khaki pants, dress pants or appropriate length skirt; Community Service Requirement: 50 hours",8:15 AM,2:35 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to District 24 students or residents who attend an information session,Then to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to District 24 students or residents,Then to Queens students or residents,Then to New York City residents,,,,
